0.15	3.00
0.15	0.00
0.00	0.15
3.00	0.15
0.3	3.00
0.3	0.00
0.00	0.3
3.00	0.3
0.45	3.00
0.45	0.00
0.00	0.45
3.00	0.45
0.6	3.00
0.6	0.00
0.00	0.6
3.00	0.6
0.75	3.00
0.75	0.00
0.00	0.75
3.00	0.75
0.9	3.00
0.9	0.00
0.00	0.9
3.00	0.9
1.05	3.00
1.05	0.00
0.00	1.05
3.00	1.05
1.2	3.00
1.2	0.00
0.00	1.2
3.00	1.2
1.35	3.00
1.35	0.00
0.00	1.35
3.00	1.35
1.5	3.00
1.5	0.00
0.00	1.5
3.00	1.5
1.65	3.00
1.65	0.00
0.00	1.65
3.00	1.65
1.8	3.00
1.8	0.00
0.00	1.8
3.00	1.8
1.95	3.00
1.95	0.00
0.00	1.95
3.00	1.95
2.1	3.00
2.1	0.00
0.00	2.1
3.00	2.1
2.25	3.00
2.25	0.00
0.00	2.25
3.00	2.25
2.4	3.00
2.4	0.00
0.00	2.4
3.00	2.4
2.55	3.00
2.55	0.00
0.00	2.55
3.00	2.55
2.7	3.00
2.7	0.00
0.00	2.7
3.00	2.7
2.85	3.00
2.85	0.00
0.00	2.85
3.00	2.85
3	3.00
3	0.00
0.00	3
3.00	3
1	1.00
1	2.00
1.15	1.00
1.15	2.00
1.3	1.00
1.3	2.00
1.45	1.00
1.45	2.00
1.6	1.00
1.6	2.00
1.75	1.00
1.75	2.00
1.9	1.00
1.9	2.00
2.00	0.15
2.00	0.3
2.00	0.45
2.00	0.6
2.00	0.75
2.00	0.9
1.00	2
1.00	2.15
1.00	2.3
1.00	2.45
1.00	2.6
1.00	2.75
1.00	2.9
